_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
5f9fbbe29ab4cb82f82fd5a9,2020-11-02 13:27:21,Online Content Partnership,Internshala Trainings,Gurgaon,Immediately, 20000 /month,6 Months,"11 Nov' 20",Internship with job offer,"[""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Job offer""]"
5f9fbbe39ab4cb82f82fd5aa,2020-11-02 13:27:22,Business Development (Sales),Freecharge Payments Technology Private Limited,Gurgaon,Immediately, 10000 /month,3 Months,"12 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation""]"
5f9fbbe49ab4cb82f82fd5ab,2020-11-02 13:27:23,Business Development (Sales),Decathlon Sports India,Gurgaon,Immediately, 10000 /month,3 Months,"11 Nov' 20",Internship,"[""MS-Word"",""MS-PowerPoint"",""MS-Excel"",""Certificate""]"
5f9fbbe59ab4cb82f82fd5ac,2020-11-02 13:27:24,Business Development (Sales),Decathlon Sports India,Gurgaon,Immediately, 12000 /month,6 Months,"11 Nov' 20",Internship,"[""MS-Office"",""Certificate"","" Informal dress code""]"
5f9fbbe59ab4cb82f82fd5ad,2020-11-02 13:27:25,Digital Marketing,Policybazaar.com,Delhi,Immediately, 10000 /month,3 Months,"10 Nov' 20",Internship,"[""Certificate"","" 5 days a week""]"
5f9fbbe69ab4cb82f82fd5ae,2020-11-02 13:27:25,Chartered Accountancy (CA-Industrial Trainee),Religare Health Insurance Company Limited,Gurgaon,Immediately, 12500 /month,6 Months,"9 Nov' 20",Internship,"[""Certificate"","" 5 days a week""]"
5f9fbbe79ab4cb82f82fd5af,2020-11-02 13:27:26,Content Writing,FabHotels,Gurgaon,Immediately, 5000 /month,2 Months,"7 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" Informal dress code"","" 5 days a week""]"
5f9fbbe79ab4cb82f82fd5b0,2020-11-02 13:27:27,Business Development (Sales),Dunzo,Gurgaon,Immediately, 8000-10000 /month,3 Months,"5 Nov' 20",Internship,"[""MS-Excel"",""Certificate"","" Flexible work hours"","" Informal dress code""]"
5f9fbbe89ab4cb82f82fd5b1,2020-11-02 13:27:27,Fashion Design,Shantanu & Nikhil,Noida,Immediately, 5000 /month,4 Months,"4 Nov' 20",Internship with job offer,"[""Adobe Photoshop"",""Certificate"","" Letter of recommendation"","" Job offer""]"
5f9fbbe99ab4cb82f82fd5b2,2020-11-02 13:27:28,Network Engineering,Snapdeal,Gurgaon,Immediately, 10000 /month,3 Months,"3 Nov' 20",Internship,"[""Computer Networking"",""Computer Networks"",""Distributed Computing"",""Certificate""]"
5f9fbbea9ab4cb82f82fd5b3,2020-11-02 13:27:29,Engineering Operations,Snapdeal,Gurgaon,Immediately, 10000 /month,3 Months,"3 Nov' 20",Internship,"[""Java"",""Python"",""SQL"",""Shell Scripting"",""MySQL"",""Unix"",""Certificate""]"
5f9fbbed9ab4cb82f82fd5b4,2020-11-02 13:27:30,Merchandise Design,Hula Global Fashions Private Limited,Noida,Immediately, 3000 /month,3 Months,"16 Nov' 20",Internship,"[""MS-PowerPoint"",""Mathematics"",""MS-Excel"",""Certificate"","" Letter of recommendation""]"
5f9fbbee9ab4cb82f82fd5b5,2020-11-02 13:27:33,Sales & Marketing,Ragpiker,Ghaziabad,Immediately, 5000 /month +  Incentives,2 Months,"16 Nov' 20",Internship with job offer,"[""Salesforce"",""Client Relationship"",""Certificate"","" Letter of recommendation"","" 5 days a week"","" Job offer""]"
