_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
5f9fc7ee153e7b49e476c8f4,2020-11-02 14:18:45,Retail Marketing,Decathlon Sports India,Secunderabad,Immediately, 6000 /month,3 Months,"6 Nov' 20",Internship,"[""Google Analytics"",""Digital Marketing"",""Search Engine Optimization (SEO)"",""Facebook Marketing"",""Video Making"",""Client Relationship"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]"
5f9fc7ef153e7b49e476c8f5,2020-11-02 14:18:46,Hardware Algorithms Development,Titan Company Limited,Hyderabad,Immediately, 15000 /month,6 Months,"6 Nov' 20",Internship,"[""Python"",""Machine Learning"",""Certificate""]"
5f9fc7f0153e7b49e476c8f6,2020-11-02 14:18:47,Web Development,SoftEzi Solutions Limited Liability Partnership,Delhi,Immediately, 3500 /month,1 Month,"16 Nov' 20",Internship,"[""Java"",""Hibernate (Java)"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc7f1153e7b49e476c8f7,2020-11-02 14:18:48,Human Resources (HR),Oddy Labs,Hyderabad,Immediately, 4000 /month,6 Months,"16 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]"
5f9fc7f2153e7b49e476c8f8,2020-11-02 14:18:49,Sales And Marketing,Uniworks Designs Private Limited,Hyderabad,Immediately, 10000 /month,6 Months,"16 Nov' 20",Internship,"[""MS-Office"",""MS-Word"",""MS-Excel"",""Certificate""]"
5f9fc7f3153e7b49e476c8f9,2020-11-02 14:18:50,Business Development (Sales),Drunken Monkey,Hyderabad,Immediately, 5000 /month,3 Months,"16 Nov' 20",Internship with job offer,"[""MS-Excel"",""English Proficiency (Spoken)"",""Hindi Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Job offer""]"
5f9fc7f4153e7b49e476c8fa,2020-11-02 14:18:51,Graphic Design,OETD Labs,Hyderabad,Immediately, 8000-10000 /month,1 Month,"16 Nov' 20",Internship,"[""Adobe Photoshop"",""CorelDRAW"",""Adobe Illustrator"",""Video Editing"",""Adobe Indesign"",""Certificate"","" Flexible work hours"","" 5 days a week""]"
5f9fc7f5153e7b49e476c8fb,2020-11-02 14:18:52,Operations,"Rao's Stationary Fancy And Internet Services",Hyderabad,Immediately, 4000 /month,2 Months,"16 Nov' 20",Internship with job offer,"[""Digital Marketing"",""Accounting"",""MS-Excel"",""Certificate"","" Flexible work hours"","" Informal dress code"","" Job offer""]"
5f9fc7f5153e7b49e476c8fc,2020-11-02 14:18:53,Digital Marketing,Trove Craft,Hyderabad,Immediately, 3000 /month,2 Months,"16 Nov' 20",Internship,"[""Social Media Marketing"",""Adobe Photoshop"",""CorelDRAW"",""Certificate"","" Flexible work hours""]"
5f9fc7f6153e7b49e476c8fd,2020-11-02 14:18:53,Business Development (Sales),Fincomienzo Solutions Private Limited,Ahmedabad,Immediately, 2000 /month +  Incentives,4 Months,"16 Nov' 20",Internship with job offer,"[""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]"
5f9fc7f7153e7b49e476c8fe,2020-11-02 14:18:54,General Management,Knedge,Hyderabad,Immediately, 8000-12000 /month,3 Months,"16 Nov' 20",Internship,"[""MS-Office"",""Digital Marketing"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]"
5f9fc7f8153e7b49e476c8ff,2020-11-02 14:18:55,Graphic Design,Knedge,Bangalore,Immediately, 8000-12000 /month,3 Months,"16 Nov' 20",Internship,"[""Adobe Photoshop"",""Adobe Illustrator"",""Adobe Premiere Pro"",""Adobe Creative Suite"",""Adobe After Effects"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]"
5f9fc7f9153e7b49e476c900,2020-11-02 14:18:56,Business Development (Sales),"Farmer's Bridge Basket Retail LLP",Hyderabad,Immediately, 4000 /month,3 Months,"15 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc7fa153e7b49e476c901,2020-11-02 14:18:57,Embedded Systems & IoT,IIIRPD,Secunderabad,Immediately, 15000-25000 lump sum,6 Months,"15 Nov' 20",Internship,"[""Robotics"",""Embedded Systems"",""Internet of Things (IoT)"",""Certificate"","" Letter of recommendation"","" Informal dress code""]"
5f9fc7fb153e7b49e476c902,2020-11-02 14:18:58,Event Management,Formskart,Chandigarh,Immediately, 3000 /month,3 Months,"15 Nov' 20",Internship with job offer,"[""Social Media Marketing"",""Digital Marketing"",""English Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Job offer""]"
5f9fc7fb153e7b49e476c903,2020-11-02 14:18:59,Business Development (Sales),Seebec Utilities Private Limited,Hyderabad,Immediately, 2000 /month,3 Months,"15 Nov' 20",Internship,[]
5f9fc7fc153e7b49e476c904,2020-11-02 14:18:59,Telecalling,VBLP Tech Solutions Private Limited,Hyderabad,Immediately, 10000 /month,2 Months,"15 Nov' 20",Internship,"[""English Proficiency (Spoken)"",""Hindi Proficiency (Spoken)"",""Telugu Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Informal dress code""]"
5f9fc7fd153e7b49e476c905,2020-11-02 14:19:00,Graphic Design,VBLP Tech Solutions Private Limited,Hyderabad,Immediately, 12000 /month,1 Month,"15 Nov' 20",Internship,"[""Adobe Photoshop"",""Adobe Illustrator"",""Adobe Premiere Pro"",""Adobe Creative Suite"",""Adobe Dreamweaver"",""Adobe Indesign"",""Adobe Flash"",""Adobe After Effects"",""Certificate"","" Letter of recommendation"","" Informal dress code""]"
5f9fc7fe153e7b49e476c906,2020-11-02 14:19:01,Robotics,IIIRPD,Secunderabad,Immediately, 40000 lump sum,6 Months,"15 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]"
5f9fc7fe153e7b49e476c907,2020-11-02 14:19:02,Android App Development,IIIRPD,Hyderabad,Immediately, 20000 lump sum,6 Months,"15 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc7ff153e7b49e476c908,2020-11-02 14:19:02,Graphic Design,QShala,Chennai,Immediately, 10000-15000 /month,3 Months,"15 Nov' 20",Internship with job offer,"[""Adobe Photoshop"",""Adobe Creative Suite"",""Adobe After Effects"",""Adobe Photoshop Lightroom CC"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week"","" Job offer""]"
5f9fc800153e7b49e476c909,2020-11-02 14:19:03,iOS App Development,Fincomienzo Solutions Private Limited,Chennai,Immediately, 2000 /month +  Incentives,4 Months,"15 Nov' 20",Internship with job offer,"["".NET"",""iOS"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]"
5f9fc801153e7b49e476c90a,2020-11-02 14:19:04,Business Development (Sales),Homesifyi.com,Bangalore,Immediately, 4000-9000 /month,3 Months,"14 Nov' 20",Internship with job offer,"[""MS-PowerPoint"",""MS-Excel"",""Certificate"","" Flexible work hours"","" Job offer""]"
5f9fc802153e7b49e476c90b,2020-11-02 14:19:05,Mobile App Development,Todquest Enterprises Private Limited,Hyderabad,Immediately, 10000 /month,3 Months,"14 Nov' 20",Internship with job offer,"[""Flutter"",""Dart"",""iOS"",""Android"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" Job offer""]"
5f9fc805153e7b49e476c90c,2020-11-02 14:19:06,Operational Accountancy,Lloyd Harrington Australia Proprietary Limited,Hyderabad,Immediately, 7000 /month,6 Months,"5 Dec' 20",Internship with job offer,"[""Accounting"",""Tally"",""MS-Excel"",""Financial Modeling"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]"
5f9fc806153e7b49e476c90d,2020-11-02 14:19:09,Operations,WeMakeScholars,Hyderabad,Immediately, 12000-17000 /month,6 Months,"14 Nov' 20",Internship with job offer,"[""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" Job offer""]"
5f9fc806153e7b49e476c90e,2020-11-02 14:19:10,Social Media Marketing,STEM SHOP STORE,Delhi,Immediately, 15000 /month,3 Months,"14 Nov' 20",Internship,"[""HTML"",""Adobe Photoshop"",""Adobe Illustrator"",""Digital Marketing"",""Adobe Creative Suite"",""Search Engine Optimization (SEO)"",""Creative Writing"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]"
5f9fc807153e7b49e476c90f,2020-11-02 14:19:10,Operations,Krishna Pharma,Hyderabad,Immediately, 15000 /month,3 Months,"14 Nov' 20",Internship with job offer,"[""MS-Excel"",""Flexible work hours"","" Informal dress code"","" Job offer""]"
5f9fc80a153e7b49e476c910,2020-11-02 14:19:11,Marketing,MothersFood,Hyderabad,Immediately, 7000 /month,3 Months,"14 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation""]"
5f9fc80b153e7b49e476c911,2020-11-02 14:19:14,Marketing,Vsupply Webstore LLP Hyderabad,Hyderabad,Immediately, 10000 lump sum,2 Months,"14 Nov' 20",Internship,"[""Event Management"",""Certificate"","" Flexible work hours"","" 5 days a week""]"
5f9fc80c153e7b49e476c912,2020-11-02 14:19:15,Science Models/Wind Sculptures Fabrication,Bookmark Projects Trust,Hyderabad,Immediately, 11000 /month,3 Months,"14 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation""]"
5f9fc80d153e7b49e476c913,2020-11-02 14:19:16,Social Media Marketing,DineSmart,Hyderabad,Immediately, 8000-15000 /month,3 Months,"14 Nov' 20",Internship,"[""Social Media Marketing"",""Adobe Photoshop"",""Adobe Illustrator"",""Digital Marketing"",""Adobe XD"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]"
5f9fc80d153e7b49e476c914,2020-11-02 14:19:17,Gearbox,M/S Hemilton Engineering Company,Hyderabad,Immediately, 2500 /month +  Incentives,3 Months,"14 Nov' 20",Internship,"[""Digital Marketing"",""Mathematics"",""Tally"",""Client Relationship"",""Certificate"","" Letter of recommendation"","" 5 days a week""]"
5f9fc80f153e7b49e476c915,2020-11-02 14:19:17,Operations,Pathfold,Hyderabad,Immediately, 6000 /month,3 Months,"14 Nov' 20",Internship,"[""Social Media Marketing"",""Adobe Photoshop"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation""]"
5f9fc810153e7b49e476c916,2020-11-02 14:19:19,Product Management,Stratfit,Hyderabad,Immediately, 5000-8000 /month,6 Months,"13 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code""]"
5f9fc812153e7b49e476c917,2020-11-02 14:19:20,Content Writing,Hana E Solutions,Bangalore,Immediately, 5000-7000 /month,2 Months,"13 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]"
5f9fc813153e7b49e476c918,2020-11-02 14:19:22,Graphic Design,Omnytrix,Secunderabad,Immediately, 6000-10000 /month,3 Months,"13 Nov' 20",Internship with job offer,"[""Social Media Marketing"",""Adobe Photoshop"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Free snacks & beverages"","" Job offer""]"
5f9fc814153e7b49e476c919,2020-11-02 14:19:23,Interior Design,Studio Emerald,Hyderabad,Immediately, 4000 /month,3 Months,"13 Nov' 20",Internship with job offer,"[""AutoCAD"",""Adobe Photoshop"",""MS-PowerPoint"",""Google SketchUp "",""MS-Excel"",""Flexible work hours"","" Informal dress code"","" Job offer""]"
5f9fc815153e7b49e476c91a,2020-11-02 14:19:24,Social Media Marketing,Qubit AI Technologies,Hyderabad,Immediately, 10000-15000 /month,6 Months,"13 Nov' 20",Internship,"[""Social Media Marketing"",""Adobe Photoshop"",""Video Editing"",""Adobe Premiere Pro"",""Certificate""]"
5f9fc816153e7b49e476c91b,2020-11-02 14:19:25,Business Development (Sales),Edvizo Media Private Limited,Delhi,Immediately, 10000-15000 /month,3 Months,"13 Nov' 20",Internship,"[""Certificate"","" Flexible work hours""]"
5f9fc81a153e7b49e476c91c,2020-11-02 14:19:28,Social Media Marketing,IIIRPD,Hyderabad,Nothing, 2000 /month,3 Months,"13 Nov' 20",Internship,"[""Social Media Marketing"",""Facebook Marketing""]"
5f9fc81b153e7b49e476c91d,2020-11-02 14:19:30,3D Sculpting,IIIRPD,Hyderabad,Nothing, 2000 /month,3 Months,"28 Nov' 20",Internship with job offer,"[""Autodesk Maya"",""Blender 3D"",""ZBrush"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week"","" Free snacks & beverages"","" Job offer""]"
5f9fc81b153e7b49e476c91e,2020-11-02 14:19:31,Business Development (Sales),Roligt Foods Private Limited,Hyderabad,Immediately, 8000-10000 /month,2 Months,"12 Nov' 20",Internship,"[""Certificate""]"
5f9fc81d153e7b49e476c91f,2020-11-02 14:19:31,Business Development (Sales),The Media Exchange,Hyderabad,Immediately, 7000 /month +  Incentives,3 Months,"12 Nov' 20",Internship,"[""Hindi Proficiency (Spoken)"",""Telugu Proficiency (Spoken)"",""Certificate"","" Flexible work hours"","" Informal dress code"","" 5 days a week""]"
5f9fc81d153e7b49e476c920,2020-11-02 14:19:33,Digital Marketing,Enozi Digital Marketing Agency,Hyderabad,Immediately, 3000 /month,3 Months,"12 Nov' 20",Internship,"[""Social Media Marketing"",""MS-Office"",""Digital Marketing"",""Client Relationship"",""English Proficiency (Spoken)"",""Instagram Marketing"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" 5 days a week""]"
5f9fc81e153e7b49e476c921,2020-11-02 14:19:33,Marketing,Padaayi,Guntur,Immediately, 4000 /month +  Incentives,2 Months,"12 Nov' 20",Internship,"[""Hindi Proficiency (Spoken)"",""Hindi Proficiency (Written)"",""Telugu Proficiency (Written)"",""Telugu Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc81f153e7b49e476c922,2020-11-02 14:19:34,Business Development (Sales),QuickRide,Hyderabad,Immediately, 5000 /month,1 Month,"12 Nov' 20",Internship,"[""Social Media Marketing"",""English Proficiency (Spoken)"",""Telugu Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc820153e7b49e476c923,2020-11-02 14:19:35,MERN Stack Development,Bestflux Incorporation,Guntur,Immediately, 4000 /month,6 Months,"12 Nov' 20",Internship,"[""MongoDB"",""Node.js"",""Express.js"",""ReactJS"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week""]"
5f9fc821153e7b49e476c924,2020-11-02 14:19:36,Indirect Tax,Darda Advisors LLP,Chennai,Immediately, 5000-7500 /month,6 Months,"12 Nov' 20",Internship,"[""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
