_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
5f9fcb07fe00d03aec2996d9,2020-11-02 14:31:58,Marketing,"BYJU'S The Learning App",Kolkata,Immediately, 15000 /month,1 Month,"12 Nov' 20",Internship,"[""Bengali Proficiency (Spoken)"",""English Proficiency (Spoken)"",""Letter of recommendation""]"
5f9fcb07fe00d03aec2996da,2020-11-02 14:31:59,Business Development (Sales),Aditya Birla Capital,Kolkata,Immediately, 2000 /month,3 Months,"10 Nov' 20",Internship with job offer,"[""Certificate"","" Letter of recommendation"","" Informal dress code"","" Job offer""]"
5f9fcb08fe00d03aec2996db,2020-11-02 14:31:59,Marketing,"BYJU'S The Learning App",Kolkata,Immediately, 15000 /month,1 Month,"5 Nov' 20",Internship,"[""MS-Excel"",""Letter of recommendation"","" Free snacks & beverages""]"
5f9fcb09fe00d03aec2996dc,2020-11-02 14:32:00,Business Development (Sales),Fortuna Impex Private Limited,Kolkata,Immediately, 8000 /month +  Incentives,6 Months,"16 Nov' 20",Internship with job offer,"[""MS-PowerPoint"",""Creative Writing"",""Video Making"",""Animation"",""Client Relationship"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]"
5f9fcb0afe00d03aec2996dd,2020-11-02 14:32:01,Web Development,Fortuna Impex Private Limited,Kolkata,Immediately, 8000 /month,3 Months,"16 Nov' 20",Internship,"[""C#"","".NET"",""Backbone.js"",""Bootstrap"",""Angular 7.0"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fcb0bfe00d03aec2996de,2020-11-02 14:32:02,Embedded Systems With AI,Fortuna Impex Private Limited,Kolkata,Immediately, 10000 /month,4 Months,"16 Nov' 20",Internship,"[""Python"",""Eclipse (IDE)"",""Digital Signal Processing"",""ARM Microcontroller"",""Raspberry Pi"",""Embedded Systems"",""Internet of Things (IoT)"",""Artifical Intelligence"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fcb0bfe00d03aec2996df,2020-11-02 14:32:03,Content Development (Commerce),CollegeShala,Asansol,Immediately, 25000 /month,3 Months,"16 Nov' 20",Internship with job offer,"[""MS-Office"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Job offer""]"
5f9fcb0cfe00d03aec2996e0,2020-11-02 14:32:03,Marketing,Rajeev Classes,Asansol,Immediately, 4000 /month,3 Months,"16 Nov' 20",Internship,"[""Bengali Proficiency (Spoken)"",""English Proficiency (Spoken)"",""Hindi Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" Free snacks & beverages""]"
5f9fcb0dfe00d03aec2996e1,2020-11-02 14:32:04,Business Development (Sales),Fincomienzo Solutions Private Limited,Ahmedabad,Immediately, 2000 /month +  Incentives,4 Months,"16 Nov' 20",Internship with job offer,"[""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]"
5f9fcb0efe00d03aec2996e2,2020-11-02 14:32:05,Event Management,Formskart,Chandigarh,Immediately, 3000 /month,3 Months,"15 Nov' 20",Internship with job offer,"[""Social Media Marketing"",""Digital Marketing"",""English Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Job offer""]"
