_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
5f9fc4535ae1fc3c5cd0cec7,2020-11-02 14:03:22,Accounts & Administration,Ramesh Sippy Academy Of Cinema And Entertainment,Mumbai,Immediately, 6000-12000 /month,6 Months,"11 Nov' 20",Internship,[]
5f9fc4535ae1fc3c5cd0cec8,2020-11-02 14:03:23,Brand Management,Nykaa,Mumbai,Immediately, 5000-10000 /month,3 Months,"11 Nov' 20",Internship,"[""MS-Excel""]"
5f9fc4545ae1fc3c5cd0cec9,2020-11-02 14:03:23,Company Secretary (CS),Balaji Telefilms Limited,Mumbai,Immediately, 7500 /month,24 Months,"6 Nov' 20",Internship,"[""MS-Office"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation""]"
5f9fc4565ae1fc3c5cd0ceca,2020-11-02 14:03:24,Operations (Procurement),Bayer Group India,Mumbai,Immediately, 10000 /month,3 Months,"5 Nov' 20",Internship,"[""Certificate"","" 5 days a week""]"
5f9fc4565ae1fc3c5cd0cecb,2020-11-02 14:03:26,Company Secretary,Fractal Analytics,Mumbai,Immediately, 15000 /month,6 Months,"5 Nov' 20",Internship,"[""MS-Word"",""MS-PowerPoint"",""Accounting"",""MS-Excel"",""Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]"
5f9fc4575ae1fc3c5cd0cecc,2020-11-02 14:03:26,Social Media Marketing,Times Internet Limited,Mumbai,Immediately, 5000 /month,6 Months,"5 Nov' 20",Internship,"[""Certificate""]"
5f9fc4585ae1fc3c5cd0cecd,2020-11-02 14:03:27,Information Technology,Ramesh Sippy Academy Of Cinema And Entertainment,Mumbai,Immediately, 10000-12000 /month,6 Months,"5 Nov' 20",Internship,"[""Computer Networking"",""Internet of Things (IoT)""]"
5f9fc4595ae1fc3c5cd0cece,2020-11-02 14:03:28,Social Media Marketing,Lokmat Media Private Limited,Mumbai,Immediately, 5000-10000 /month,6 Months,"5 Nov' 20",Internship,"[""Social Media Marketing"",""MS-Office"",""Facebook Marketing"",""Creative Writing"",""MS-Excel"",""Marathi Proficiency(Written)"",""Instagram Marketing"",""Certificate"","" Letter of recommendation"","" Flexible work hours""]"
5f9fc45a5ae1fc3c5cd0cecf,2020-11-02 14:03:29,Marketing,Ramesh Sippy Academy Of Cinema And Entertainment,Mumbai,Immediately, 10000-12000 /month,6 Months,"4 Nov' 20",Internship,[]
5f9fc45a5ae1fc3c5cd0ced0,2020-11-02 14:03:30,Accounts & Administration,Threco Recycling,Mumbai,Immediately, 8000-12000 /month,6 Months,"16 Nov' 20",Internship with job offer,"[""MS-Office"",""Tally"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Job offer""]"
5f9fc45b5ae1fc3c5cd0ced1,2020-11-02 14:03:30,Operations,UnGap,Mumbai,Immediately, 7000-10000 /month,4 Months,"16 Nov' 20",Internship,"[""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]"
5f9fc45c5ae1fc3c5cd0ced2,2020-11-02 14:03:31,Campus Ambassador,UFO Moviez India Limited,Mumbai,Immediately,Performance Based,2 Months,"16 Nov' 20",Internship,"[""Certificate"","" Flexible work hours""]"
5f9fc4605ae1fc3c5cd0ced3,2020-11-02 14:03:32,Event & Artist Management,Dynamo Entertainment & Talent Management Private Limited,Mumbai,Immediately, 8000 /month,6 Months,"16 Nov' 20",Internship,"[""Event Management"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Flexible work hours""]"
5f9fc4615ae1fc3c5cd0ced4,2020-11-02 14:03:36,Reception Management,Wowpinch Marketing Private Limited,Mumbai,Immediately, 4997 /month,4 Months,"16 Nov' 20",Internship,"[""English Proficiency (Spoken)"",""5 days a week"","" Free snacks & beverages""]"
5f9fc4625ae1fc3c5cd0ced5,2020-11-02 14:03:37,Ionic Development,Techqueto LLP,Mumbai,Immediately, 2000 /month,6 Months,"16 Nov' 20",Internship,"[""HTML"",""CSS"",""Bootstrap"",""AngularJS"",""Certificate""]"
5f9fc4625ae1fc3c5cd0ced6,2020-11-02 14:03:38,Content Writing,Dwear - The Designer Wear Company,Mumbai,Immediately, 3000 /month,3 Months,"16 Nov' 20",Internship,"[""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]"
5f9fc4655ae1fc3c5cd0ced7,2020-11-02 14:03:38,Civil Engineering,Shreeji Enterprise,Ahmedabad,Immediately, 2000 /month,6 Months,"16 Nov' 20",Internship,"[""Certificate"","" Flexible work hours"","" Informal dress code""]"
5f9fc4665ae1fc3c5cd0ced8,2020-11-02 14:03:41,Graphic Design,Mutation Media,Mumbai,Immediately, 7000 /month,3 Months,"16 Nov' 20",Internship,"[""Adobe Photoshop"",""Adobe Illustrator"",""Animation"",""Adobe After Effects"",""Adobe Photoshop Lightroom CC"",""Certificate"","" Letter of recommendation"","" Informal dress code""]"
5f9fc4665ae1fc3c5cd0ced9,2020-11-02 14:03:42,Operations,Tee Ventures (India) Private Limited,Mumbai,Immediately, 10000 /month,6 Months,"16 Nov' 20",Internship,"[""MS-Office"",""MS-Word"",""MS-Excel"",""Certificate"","" Letter of recommendation""]"
5f9fc4675ae1fc3c5cd0ceda,2020-11-02 14:03:42,Field Sales (Online),Rent Roof,Mumbai,Immediately, 5000-10000 /month,3 Months,"16 Nov' 20",Internship with job offer,"[""MS-Word"",""English Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Job offer""]"
5f9fc4685ae1fc3c5cd0cedb,2020-11-02 14:03:43,Content Writing,Origo,Mumbai,Immediately, 6000 /month,6 Months,"16 Nov' 20",Internship,"[""MS-Office"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week""]"
